LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
19,747,NEBO ADVANCED LEARNING CENTER,19-747,,STVSBGI,Y,N,N,
19,704,PAYSON HIGH,19-704,,STVSBGI,Y,N,N,
19,706,SALEM HILLS HIGH,19-706,,STVSBGI,Y,N,N,
19,708,SPANISH FORK HIGH,19-708,,STVSBGI,Y,N,N,
19,712,SPRINGVILLE HIGH,19-712,,STVSBGI,Y,N,N,
1B,700,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),1B-700,,STVSBGI,Y,N,N,
1I,700,UTAH INTERNATIONAL CHARTER SCHOOL,1I-700,,STVSBGI,Y,N,N,
1J,800,AMERICAN INTERNATIONAL SCHOOL OF UTAH,1J-800,,STVSBGI,Y,N,N,
1K,700,VANGUARD ACADEMY,1K-700,,STVSBGI,Y,N,N,
20,704,NORTH SANPETE HIGH,20-704,,STVSBGI,Y,N,N,
20,801,NORTH SANPETE SPECIAL PURPOSE SCHOOL,20-801,,STVSBGI,Y,N,N,
21,704,NORTH SUMMIT HIGH,21-704,,STVSBGI,Y,N,N,
22,704,PARK CITY HIGH,22-704,,STVSBGI,Y,N,N,
