LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
12,716,OLYMPUS HIGH,12-716,450380,STVSBGI,Y,N,N,4/13/2017
01,712,OREM HIGH,01-712,450281,STVSBGI,Y,N,N,4/13/2017
10,712,PANGUITCH HIGH,10-712,450285,STVSBGI,Y,N,N,4/13/2017
9C,700,PARADIGM HIGH SCHOOL,9C-700,450404,STVSBGI,Y,N,N,4/13/2017
22,704,PARK CITY HIGH,22-704,450290,STVSBGI,Y,N,N,4/13/2017
13,708,PAROWAN HIGH,13-708,450295,STVSBGI,Y,N,N,4/13/2017
19,704,PAYSON HIGH,19-704,450300,STVSBGI,Y,N,N,4/13/2017
33,720,PINE VIEW HIGH,33-720,450354,STVSBGI,Y,N,N,4/13/2017
86,100,PINNACLE CANYON ACADEMY,86-100,450309,STVSBGI,Y,N,N,4/13/2017
9H,700,PIONEER HIGH SCHOOL FOR THE PERFORMING ARTS,9H-700,450176,STVSBGI,Y,N,N,4/13/2017
23,708,PIUTE HIGH,23-708,450050,STVSBGI,Y,N,N,4/13/2017
01,716,PLEASANT GROVE HIGH,01-716,450305,STVSBGI,Y,N,N,4/13/2017
01,782,POLARIS HIGH SCHOOL,01-782,450276,STVSBGI,Y,N,N,4/13/2017
33,240,POST HS SELF-CONT,33-240,,STVSBGI,Y,N,N,4/13/2017
9E,100,PROVIDENCE HALL,9E-100,450124,STVSBGI,Y,N,N,4/13/2017
38,704,PROVO HIGH,38-704,450325,STVSBGI,Y,N,N,4/13/2017
07,733,RENAISSANCE ACADEMY,07-733,,STVSBGI,Y,N,N,4/13/2017
24,708,RICH HIGH,24-708,450330,STVSBGI,Y,N,N,4/13/2017
26,708,RICHFIELD HIGH,26-708,450335,STVSBGI,Y,N,N,4/13/2017
04,705,RIDGELINE HIGH SCHOOL,04-705,450196,STVSBGI,Y,N,N,4/13/2017
14,710,RIVERTON HIGH,14-710,450461,STVSBGI,Y,N,N,4/13/2017
2F,700,ROCKWELL CHARTER HIGH SCHOOL,2F-700,450088,STVSBGI,Y,N,N,4/13/2017
3K,700,ROOTS CHARTER HIGH SCHOOL,3K-700,450002,STVSBGI,Y,N,N,4/13/2017
35,708,ROY HIGH,35-708,450348,STVSBGI,Y,N,N,4/13/2017
19,706,SALEM HILLS HIGH,19-706,450399,STVSBGI,Y,N,N,4/13/2017
4F,300,SALT LAKE CENTER FOR SCIENCE EDUCATION,4F-300,450384,STVSBGI,Y,N,N,4/13/2017
7D,700,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,7D-700,,STVSBGI,Y,N,N,4/13/2017
25,708,SAN JUAN HIGH,25-708,450025,STVSBGI,Y,N,N,4/13/2017
26,600,SEVIER CAREER AND TECHNICAL EDUCATION CENTER,26-600,,STVSBGI,Y,N,N,4/13/2017
26,340,SEVIER CONNECTION ONLINE,26-340,,STVSBGI,Y,N,N,4/13/2017
04,706,SKY VIEW HIGH,04-706,450408,STVSBGI,Y,N,N,4/13/2017
12,718,SKYLINE HIGH,12-718,450397,STVSBGI,Y,N,N,4/13/2017
01,785,SKYRIDGE HIGH SCHOOL,01-785,450001,STVSBGI,Y,N,N,4/13/2017
33,725,SNOW CANYON HIGH,33-725,450353,STVSBGI,Y,N,N,4/13/2017
42,712,SOUTH PARK ACADEMY,42-712,450063,STVSBGI,Y,N,N,4/13/2017
41,321,SOUTH REGION DEAF,41-321,,STVSBGI,Y,N,N,4/13/2017
27,801,SOUTH SANPETE EDUCATION SUPPORT CENTER,27-801,,STVSBGI,Y,N,N,4/13/2017
26,712,SOUTH SEVIER HIGH,26-712,450205,STVSBGI,Y,N,N,4/13/2017
28,704,SOUTH SUMMIT HIGH,28-704,450145,STVSBGI,Y,N,N,4/13/2017
14,802,SOUTH VALLEY SCHOOL,14-802,,STVSBGI,Y,N,N,4/13/2017
13,750,SOUTHWEST EDUCATIONAL ACADEMY,13-750,450042,STVSBGI,Y,N,N,4/13/2017
19,708,SPANISH FORK HIGH,19-708,450410,STVSBGI,Y,N,N,4/13/2017
37,620,SPEC EDUC ATC,37-620,,STVSBGI,Y,N,N,4/13/2017
04,610,SPECIAL SERVICES,04-610,,STVSBGI,Y,N,N,4/13/2017
3D,100,SPECTRUM ACADEMY - NSL,3D-100,450241,STVSBGI,Y,N,N,4/13/2017
19,712,SPRINGVILLE HIGH,19-712,450415,STVSBGI,Y,N,N,4/13/2017
30,720,STANSBURY HIGH,30-720,450431,STVSBGI,Y,N,N,4/13/2017
07,660,STAR TRANSITION,07-660,,STVSBGI,Y,N,N,4/13/2017
A9,710,SUCCESS DSU,A9-710,,STVSBGI,Y,N,N,4/13/2017
